Title of the Job,Company,Company Info,Responsibilities,Requirements,Job Type,Experience,Education
NET Software Engineer (Cloud),,"ThorTech Solutions is a software and IT consultancy with reasonable working hours, solid benefits and 18+ years of stability. Our process is agile. Our culture is built around collaboration, community, creativity, communication, learning and producing measurable value. Our team is diverse, passionate and driven, including hackers, musicians, math geeks, artsy, arduino hobbyists all working together to achieve our goals.","You’ll be working on architectures for building resilient, scalable distributed systems on the AWS cloud platform that won’t fail.,You will be troubleshooting and optimizing through the full stack from the web tier, to the network tier, down to the database tier. You know how to use wireshark, evaluate SQL execution plans, have experience with profiling/debugging tools on the .net platform.,You are able to gather requirements and create/design and implement solutions that are testable, decoupled, isolated and understandable. You can achieve this with some basic diagrams, user stories, discussions and some paired programming.,You are fluent in C#, ASP.Net, Linq, SQL and can build and design decoupled components for distributed systems. You are well versed in the Windows platform, IIS, SQL Server and can author and consume web services. You’re already using or very interested in utilizing the CoreCLR.,You will be coaching, teaching and learning with team members. Pairing when appropriate. You’re comfortable with or excited to learn about functional programming paradigms.","5+ years of hands-on, professional development experience in C# .NET,5+ years of hands-on, professional experience in SQL server,Experience in AWS preferred,Comfortable with writing multi-threaded code,Experience using LINQ,Experience with Linux,Interest or experience in highly available distributed systems in the cloud.,Ability to thrive in an environment where you can wear many hats.,You're passionate about technology and read a lot!!,Can foster an environment of disruptive / creative solutions prides yourself on elegant, but simple solutions with a good walk up story",,.net: 7 years (Required),Yes
Cisco Network Engineer (REMOTE),"Jack Henry and Associates, Inc.",,,,,,
Systems Support Engineer (REMOTE),"Jack Henry and Associates, Inc.",,,,,,
Entry Level Data Scientist,IBM,,,,,,
Cloud DevOps Engineer,,,"AWS hands on experience (4-5 yrs),Windows Administration,Linux Administration,Active Directory,Terraform, Ansible, and Kubernetes,Scripting languages: Python or PowerShell,Monitoring tools,Naturally born or naturalized US citizen (required for AWS GovCloud certifications)","AWS, Azure or GCP Cloud certifications,Hands on experience with Azure or GCP,Postgres or Relational DB Management (RDBMS),Cloud Storage experience,Samba Windows services",,"Manage customers through migrations and ongoing services,Scripting and automation,Manage tickets through ServiceNow workflow, esp to ensure SLAs are met,Monitor and manage cloud infrastructure,Create and update systems and customer documentation as needed,Respond to alerts and outages; participate in periodic 24x7 on-call schedule while providing top notch, responsive customer service to clients,Periodically handle Severity 1 technical issues, managing resolution, root cause analysis and customer expectations/satisfaction,Test new upgrades, patches in the lab before production,Work with TX state agencies to manage timing of tests and updates,Author knowledge base articles to help other staff benefit from best practices,Defend upgrades and changes through TX state change management process,Stay on cutting edge of public cloud learning curve including pursue cloud certifications such as AWS or Azure architect","Austin, TX (Required)"
DevOps Cloud Engineer,,,,,,,
AWS Engineer,,: AWS Engineer,"Create and maintain secure AWS cloud-based data hosting solutions,Create and maintain databases,Manage data synchronization with source data,Manage and audit AWS security technologies,Identify and document vulnerabilities, and manage vulnerability resolution,Document all processes and procedures in assigned areas of responsibility,Update job knowledge by studying relevant tools, techniques, and equipment; participating in educational opportunities; reading professional publications; participating in professional organizations,Protect operations by keeping information confidential,Perform other duties as assigned","Experience in building cloud tenants and migrating customers to the cloud.,Have a Minimum of 2 years of experience with Amazon Web Services. Candidate must have strong experience with multiple AWS services,Have experience with DevOps and Infrastructure as Code: AWS environment and application automation utilizing CloudFormation and third-party tools.,Experience with core AWS platform architecture,Must have AWS Certification.,Must be authorized to work in USA. No sponsorship and no third parties. Must be a local candidate."," ,is a full life-cycle technology services company. We help businesses resolve technical issues from layers 1 through 7. Layer 7 Data Solutions has been making advanced technology simple and cost effective for the SMB and Enterprise market for over a decade. Layer 7 Data Solutions has a great opportunity in NY. We are currently hiring AWS Engineer ,join our Team.","building cloud tenants and migrating customers to the cloud: 3 years (Required),as AWS Engineer: 3 years (Required)","New York, NY (Required)"
"Sr. Cloud Engineer (Los Angeles, CA)",,,,,,,
Cloud Engineer,,,"BA/BS engineering or related IT, System Engineering, or STEM degree (or an additional 4 years of related experience in-lieu of degree),Hands-on experience and knowledge of AWS services and best practices, including: EC2, IAM, CloudFormation, CloudWatch, S3 and Glacier, Lambda,2+ years of experience in Amazon Web Services (AWS) cloud architecture, IT Operations, DevOps, Linux administration,1+ years of experience with cloud automation and scripting (e.g. AWSCLI, CloudFormation),2+ years of experience with advanced programming languages (python ideally),Deep knowledge of software deployment, git, versioning and release management processes,Familiarity with SDLC",,,,
AWS/DevOps Engineer,,"HI,","AWS: 6 years (Preferred),CI/CD: 8 years (Preferred),Maven: 8 years (Preferred),GCP: 4 years (Preferred),DevOps: 8 years (Preferred)",,,,
Google Cloud Engineer - East Coast Remote,,,,,,,
AWS DevOps Engineer (10+ Year Experience Needed),,"Hello,","AWS: 4 years (Preferred),DevOps: 10 years (Preferred),Cloud: 4 years (Preferred)",United States (Preferred),,,
AWS Cloud Engineer with Terraforms expertise,,"AWS Cloud Engineer with ,Location – Brookfield (Milwaukee),Contract / Full time","DevOps Terraform: 3 years (Required),Terraform, Shell Scripting, Python, GitLab AWS: 1 year (Required),Certified AWS Certified DevOps Engineer: 1 year (Required),Certified AWS Certified Solutions Architect: 1 year (Required)",More than 1 year,"Regards,",Likely,
DevOps Cloud Engineer,,,,,,,
Azure Cloud Engineer (only USC and GC),,"Role: Azure Cloud Engineer,Location: Midtown, Atlanta, GA,Duration: 6 months contract to hire role with NCR,Visa: USC and GC","Multiple years of experience in IT industry as System Administrator, DevOps Engineering, Cloud Engineer, Build and Release Management, Production Support of various applications on Oracle Unbreakable Linux, Red Hat Enterprise Linux, CentOS, have skilled experience on Windows Server 2012R2/2016 on various hardware platforms and Azure cloud.,Hands on experience in using various DevOps tools like Jenkins, SVN, GitHub, Bit Bucket & Rundeck, Visual build pro, TFS and Microsoft Azure.,Extensive experience in Windows AZURE(IaaS) migrating like creating AZURE VMs, storage accounts, VHDs, storage pools, migrating on premise servers to AZURE and creating availability sets in AZURE.,Experience in developing Chef Cookbooks and Recipes to manage systems configuration defined to manage and configure infrastructure and applications.,proficient in deployment using RUNDECK and troubleshooting of JAR, WAR, and EAR files in domain,Experience in creating Rundeck Jobs for deploying Infrastructure and Applications in Azure Cloud.,Experience configuring and monitoring distributed and multi-platform servers using Chef, Ansible.,Well versed with many different concepts of Chef like Roles, Environments, Data Bags, Knife, and Chef Server Admin/Organizations.,Experienced with deployments, Maintenance and troubleshooting applications on Microsoft Cloud Infrastructure Azure. **",United States (Required),Work authorization:,,
Full Time Opportunities for Students or Recent Graduates: Electrical & Mechanical Engineering,,,,,,,
AWS Cloud Engineer,,Job Type: Full-time,"Experience in migration of hosted applications to a cloud environment,Hands-on operational, development, and management experience with Amazon Web Services (AWS).,Support milCloud. milCloud is a cloud-services product portfolio, managed by DISA that features an integrated suite of capabilities designed to drive agility into the development, deployment, and maintenance of secure DoD applications.,Maintaining Post-CoRA firewall rules after customer acceptance,Completing customer port exception requests (includes firewalls, email (Ironports), DNS, and KMS),Providing solutions for milCloud customer VIPs (F5 and associated network changes),Developing milCloud VPN network changes,Developing new subnet/network device changes,Developing solutions and migration plans for vCNS to NSX,Engineering network changes for milCloud pilots (KMS, Log Service, Forward Proxy, DNS, etc.),Engineering Network changes for milCloud projects (mITE, COI Extension, Shared IP Pool, etc.),Troubleshooting associated with the above mentioned network changes,Coordinating ASI time/date with end users and DISA Operations Teams,Implementing changes to support the Milcloud environment which include F5 IDP modifications; engineering and implementing firewall rules, dynamic routing configurations, and DNS entries; configuring switchport interfaces; configuring Layer2/3 VLANs; engineering and implementing dynamic routing protocol configurations; and Juniper SA license reservations.","AWS: 5 years (Required),Forward Proxy: 5 years (Preferred),KMS: 5 years (Preferred),Relevant: 5 years (Required),DNS: 5 years (Preferred),Log Service: 5 years (Preferred),Cloud Migration: 5 years (Required),milCloud: 5 years (Required)",Location:,Bachelor's (Preferred),"Oklahoma City, OK (Required)"
Cloud DevOps Engineer,,,"AWS hands on experience (4-5 yrs),Windows Administration,Linux Administration,Active Directory,Terraform, Ansible, and Kubernetes,Scripting languages: Python or PowerShell,Monitoring tools,Naturally born or naturalized US citizen (required for AWS GovCloud certifications)","AWS, Azure or GCP Cloud certifications,Hands on experience with Azure or GCP,Postgres or Relational DB Management (RDBMS),Cloud Storage experience,Samba Windows services",,"Manage customers through migrations and ongoing services,Scripting and automation,Manage tickets through ServiceNow workflow, esp to ensure SLAs are met,Monitor and manage cloud infrastructure,Create and update systems and customer documentation as needed,Respond to alerts and outages; participate in periodic 24x7 on-call schedule while providing top notch, responsive customer service to clients,Periodically handle Severity 1 technical issues, managing resolution, root cause analysis and customer expectations/satisfaction,Test new upgrades, patches in the lab before production,Work with TX state agencies to manage timing of tests and updates,Author knowledge base articles to help other staff benefit from best practices,Defend upgrades and changes through TX state change management process,Stay on cutting edge of public cloud learning curve including pursue cloud certifications such as AWS or Azure architect","Austin, TX (Required)"
DevOps Cloud Engineer,,,,,,,
Software Engineer,,,"Develop software applications and user interfaces for loyalty and redemption platforms.,Participate in an Agile software process that encourages creativity and collaboration,Deploy using a Continuous Delivery model in a cloud environment,Follow and contribute to design and coding standards,Analyze and troubleshoot systems and platform issues,Adapt to changing environment and learn new technologies quickly","Practical experience with Java, Spring Framework, and JavaScript.,Working knowledge of PHP (preferred),Foundational knowledge of MySQL, Postgres or equivalent,Familiarity with modern web technologies,A general understanding of Software Engineering practices and concepts,Bonus: Experience with iOS or Android development tools.,Possesses strong Git-fu",,"A Bachelor's Degree (preference given to Computer Science, Engineering and STEM majors),0-3 years’ experience,Excellent problem solver,Outstanding verbal and written communication skills","AWS: 1 year (Preferred),Software Development: 5 years (Preferred),PHP: 1 year (Preferred),Git: 1 year (Preferred),Scrum: 1 year (Preferred)"
AZURE Devops Cloud Engineer,,"About Kanini,Kaniniprovides Agile Software Development, Cloud Computing, Data Science, andLocation Intelligence services to public and private organizations. We havesuccessfully served our clients in government, finance, transportation,utility, and software industries since 2003.,Why you should join,Workingat Kanini is flexible and personal. We are a highly motivated, collaborativeteam experimenting with the latest technologies. We are committed to everyonehaving a healthy work/life balance, and we provide extensive mentorship andtraining resources to help you succeed.,Kaniniis looking for an experienced AZURE Devops Cloud Engineer. Someone who has helpedbuild large, highly scalable web platforms for thousands of users is notrequired, but a huge plus.,Responsibilities,· Must have Development background,· Should Have enough knowledge inbuilding automated deployment using various scripting like PowerShell, Pythonetc.,· Good experience working in Windowsenv, IIS, TFS etc.,· Experience in Azure using PaaSservice including, but not limited to,· Creation of environments,· Creation of templates,· Creation of Resource groups,· Creation of automated build pipe anddeployment,· Creation of App ServicesEnvironment.","DevOps: 5 years (Preferred),AZURE: 4 years (Preferred)",Bachelor's (Preferred),Experience:,United States (Preferred),
Cloud Engineer,,,,,,,
Cloud Engineer,,,,,,,
Cloud Engineer,,,,,,,
AZURE Devops Cloud Engineer,,"About Kanini,Kaniniprovides Agile Software Development, Cloud Computing, Data Science, andLocation Intelligence services to public and private organizations. We havesuccessfully served our clients in government, finance, transportation,utility, and software industries since 2003.,Why you should join,Workingat Kanini is flexible and personal. We are a highly motivated, collaborativeteam experimenting with the latest technologies. We are committed to everyonehaving a healthy work/life balance, and we provide extensive mentorship andtraining resources to help you succeed.,Kaniniis looking for an experienced AZURE Devops Cloud Engineer. Someone who has helpedbuild large, highly scalable web platforms for thousands of users is notrequired, but a huge plus.,Responsibilities,· Must have Development background,· Should Have enough knowledge inbuilding automated deployment using various scripting like PowerShell, Pythonetc.,· Good experience working in Windowsenv, IIS, TFS etc.,· Experience in Azure using PaaSservice including, but not limited to,· Creation of environments,· Creation of templates,· Creation of Resource groups,· Creation of automated build pipe anddeployment,· Creation of App ServicesEnvironment.","DevOps: 5 years (Preferred),AZURE: 4 years (Preferred)",Bachelor's (Preferred),Experience:,United States (Preferred),
AWS Cloud Engineer,, AWS Cloud Engineer,"4-7 years of experience in a Developer Support role for an organization that is using AWS,Experience with DevOps tooling, including: CloudFormation, Puppet, Jenkins,Some AWS architectural knowledge, or basic experience with SRE (Site Reliability Engineering),Knowledge of IAM Policy design and management",Relevant: 1 year (Preferred), Phone or Video,United States (Preferred),
Cloud Engineer,,,,,,,
Cloud Development Engineer,,,,,,,
Cloud Engineer,,"Hanna Instruments an industry leader in laboratory instrumentation for analytical testing, is looking for a full-time Senior Cloud Engineer to join our team in Woonsocket, RI. The individual will be responsible for all technological duties associated with developing Azure cloud applications on the back end/server side and ensuring the quality of the solution. The Azure cloud engineer will analyze business needs, define the architecture for and participate in the delivery of technical solutions to complex business and technical requirements using cloud based platforms.","Installs and maintains cloud-based applications, systems, and associated infrastructures.,Translates business requirements into code and documentation while managing the life-cycle and communication for assigned projects.,Analyzes and defines business requirements to determine specifications and standards.,Oversees the proper implementation and integration of web and cloud-based applications.,Stays informed of emerging cloud technologies and evaluates the value to the organization’s operations.,Monitors system performance, troubleshooting and resolving errors.,Leads cloud development team as a specialist and works with internal and external resources to develop cloud solutions for a range of products.,Ensures quality of the solutions are robust, scalable and efficient to meet the needs of the business.","Requires experience with one or more cloud platform.,Possesses expert knowledge of subject matter.,Must have at least 5 years’ experience developing cloud applications such as JS, PHP, MQTT etc.,At least two years’ experience with developing Microsoft Azure.,Bachelor’s degree required.,Must have a good understanding of front end/client side development and troubleshooting.,Must have a good understanding of connected embedded systems tradeoffs, protocols, etc.,Requires attention to detail, a pride in delivering excellent service, organization, and high levels of energy and endurance.,Ability to handle the most complex issues and possess analytical and problem-solving skills.,Strong written and oral communication skills, exceptional time management and project management capabilities.","The people here at Hanna don’t just create widgets — they create testing solutions that help improve everything from the taste of your local microbrew to the safety of the water from your tap. With operations in 65 countries, Hanna is working to solve some of the world’s biggest problems by making scientific testing more accessible, easy and accurate. Working for Hanna is an opportunity to be a part of the solution in making a better world.","Microsoft Azure: 2 years (Required),developing cloud applications such as JS, PHP, MQTT etc.: 5 years (Preferred)",Bachelor's (Required)
Cloud Operations Engineer -OPT CAN WORK,, (3-6 years of Experience),"Expertise in , specifically platform as a service model (PaaS) on ,Ability to deploy/manage/operate scalable, highly available and fault tolerant systems on AWS,Orchestration using tools like ,Experience with cloud monitoring (security, workload, performance, cost) tools for AWS,Estimate cloud usage cost and optimization,Incident management to adhere to customer specific service level agreements (SLAs),__*","Expertise in , specifically platform as a service model (PaaS) on ,Ability to deploy/manage/operate scalable, highly available and fault tolerant systems on AWS,Orchestration using tools like ,Experience with cloud monitoring (security, workload, performance, cost) tools for AWS,Estimate cloud usage cost and optimization,Incident management to adhere to customer specific service level agreements (SLAs),__*",Experience:,Cloud: 6 years (Preferred),Likely
Cloud API Engineer,,,,,,,
NET Software Engineer (Cloud),,"ThorTech Solutions is a software and IT consultancy with reasonable working hours, solid benefits and 18+ years of stability. Our process is agile. Our culture is built around collaboration, community, creativity, communication, learning and producing measurable value. Our team is diverse, passionate and driven, including hackers, musicians, math geeks, artsy, arduino hobbyists all working together to achieve our goals.","You’ll be working on architectures for building resilient, scalable distributed systems on the AWS cloud platform that won’t fail.,You will be troubleshooting and optimizing through the full stack from the web tier, to the network tier, down to the database tier. You know how to use wireshark, evaluate SQL execution plans, have experience with profiling/debugging tools on the .net platform.,You are able to gather requirements and create/design and implement solutions that are testable, decoupled, isolated and understandable. You can achieve this with some basic diagrams, user stories, discussions and some paired programming.,You are fluent in C#, ASP.Net, Linq, SQL and can build and design decoupled components for distributed systems. You are well versed in the Windows platform, IIS, SQL Server and can author and consume web services. You’re already using or very interested in utilizing the CoreCLR.,You will be coaching, teaching and learning with team members. Pairing when appropriate. You’re comfortable with or excited to learn about functional programming paradigms.","5+ years of hands-on, professional development experience in C# .NET,5+ years of hands-on, professional experience in SQL server,Experience in AWS preferred,Comfortable with writing multi-threaded code,Experience using LINQ,Experience with Linux,Interest or experience in highly available distributed systems in the cloud.,Ability to thrive in an environment where you can wear many hats.,You're passionate about technology and read a lot!!,Can foster an environment of disruptive / creative solutions prides yourself on elegant, but simple solutions with a good walk up story",,.net: 7 years (Required),Yes
DevOps Cloud Engineer,,,,,,,
Cloud Operations Engineer,,,,,,,
Cloud Engineer,,,,,,,
Azure Cloud Systems Engineer - REQUIRES Azure Experience,,"CSS, Inc. has an immediate opening for a ,with a focus on , to support NOAA’s Office for Coastal Management (OCM). This is a full-time position located in ","Support and improve existing on-premises and Microsoft Azure Cloud infrastructure,Design and implement new on-premises and Microsoft Azure systems while implementing best practices and industry standards to meet contract requirements,Migrate on-premises infrastructure to Microsoft Azure cloud,Configure Microsoft Azure monitoring and alerts for cloud resource availability,Manage on-premises and cloud based Windows and Linux virtual servers,Work closely with application development and data engineer teams on day-to-day tasks along with project planning and implementation,Administration of Cisco switches, routers, firewalls, and other network devices","Bachelor’s Degree in Computer Science and a minimum of 5 years successful experience (high school diploma and professional certification(s) can be substituted for education),Vast understanding of cloud services and solutions in platforms such as Azure,Experience planning and executing on-premises to Azure migrations,Experience working with Azure PaaS, Azure networking, and Azure site reliability solutions (specific examples of each will be requested),Strong practical knowledge of Windows and Linux server operating systems (on-premises & IaaS),Proven experience managing a VMware virtualized server environment including ESX host administration,Comprehensive understanding of IT security best practices and threat protection,Processing of a National Agency Check and fingerprinting will be required.",,"Microsoft Azure Certification,Experience with Devops practices,Experience with ArcGIS Server and ESRI products","Azure: 1 year (Preferred),Network: 1 year (Preferred)"
Cloud Engineer,,,,,,,
Cloud DevOps Engineer,,,"AWS hands on experience (4-5 yrs),Windows Administration,Linux Administration,Active Directory,Terraform, Ansible, and Kubernetes,Scripting languages: Python or PowerShell,Monitoring tools,Naturally born or naturalized US citizen (required for AWS GovCloud certifications)","AWS, Azure or GCP Cloud certifications,Hands on experience with Azure or GCP,Postgres or Relational DB Management (RDBMS),Cloud Storage experience,Samba Windows services",,"Manage customers through migrations and ongoing services,Scripting and automation,Manage tickets through ServiceNow workflow, esp to ensure SLAs are met,Monitor and manage cloud infrastructure,Create and update systems and customer documentation as needed,Respond to alerts and outages; participate in periodic 24x7 on-call schedule while providing top notch, responsive customer service to clients,Periodically handle Severity 1 technical issues, managing resolution, root cause analysis and customer expectations/satisfaction,Test new upgrades, patches in the lab before production,Work with TX state agencies to manage timing of tests and updates,Author knowledge base articles to help other staff benefit from best practices,Defend upgrades and changes through TX state change management process,Stay on cutting edge of public cloud learning curve including pursue cloud certifications such as AWS or Azure architect","Austin, TX (Required)"
Cloud Engineer,,,,,,,
AWS Cloud Engineer,,Job Type: Full-time,"Experience in migration of hosted applications to a cloud environment,Hands-on operational, development, and management experience with Amazon Web Services (AWS).,Support milCloud. milCloud is a cloud-services product portfolio, managed by DISA that features an integrated suite of capabilities designed to drive agility into the development, deployment, and maintenance of secure DoD applications.,Maintaining Post-CoRA firewall rules after customer acceptance,Completing customer port exception requests (includes firewalls, email (Ironports), DNS, and KMS),Providing solutions for milCloud customer VIPs (F5 and associated network changes),Developing milCloud VPN network changes,Developing new subnet/network device changes,Developing solutions and migration plans for vCNS to NSX,Engineering network changes for milCloud pilots (KMS, Log Service, Forward Proxy, DNS, etc.),Engineering Network changes for milCloud projects (mITE, COI Extension, Shared IP Pool, etc.),Troubleshooting associated with the above mentioned network changes,Coordinating ASI time/date with end users and DISA Operations Teams,Implementing changes to support the Milcloud environment which include F5 IDP modifications; engineering and implementing firewall rules, dynamic routing configurations, and DNS entries; configuring switchport interfaces; configuring Layer2/3 VLANs; engineering and implementing dynamic routing protocol configurations; and Juniper SA license reservations.","AWS: 5 years (Required),Forward Proxy: 5 years (Preferred),KMS: 5 years (Preferred),Relevant: 5 years (Required),DNS: 5 years (Preferred),Log Service: 5 years (Preferred),Cloud Migration: 5 years (Required),milCloud: 5 years (Required)",Location:,Bachelor's (Preferred),"Oklahoma City, OK (Required)"
Documentation Engineer,,,,,,,
Cloud Engineer,,,,,,,
Cloud Engineer,,"Location: Phoenix, AZ or Palo Alto, CA.","Working experience in IaaS and PaaS,Networking concept and details understanding virtual network, inbound/inbound communication,Virtualization of computing resources and network,Linux operating system,Security and Disaster Recover,Web Services And API and DevOps,Hands-on on Containers setup,Programming skill scripting language like Python,Working experience for one of the public cloud like GCP, Azure or AWS and one Private cloud",,,,
Cloud Engineer,,"ASAP Solutions is filling an immediate need for a Cloud Engineer for a direct client in the Dunwoody, GA area. If interested, please submit your resume through Indeed for immediate consideration.","Supporting customers getting into Amazon Web Services with access requests and configuration/deployment of new AWS accounts.,Analyzing current process in the cloud business operations group and identifying ways of improving process.,Performs architectural cloud review of incoming requests to assess and make recommendations to our customers.,Ensures all documentation and knowledge bases are updated to help ensure good collaboration within and outside of our group.,Collaborate with team members and leadership to develop road maps and strategies for the Cloud.,Assess current processes and workflows to identify opportunities for automation.","2-3 years working experience in Terraform/Cloudformation or alternative Cloudformation tool required.,2-3 years experience working with AWS Cloud Services and API is required. Awareness of IAM helpful,Working experience in object oriented programming language is a plus, (Python, Java),Working experience with, GitHub, Splunk, or CloudHealth is a plus.",,"IAM: 2 years (Required),AWS Cloud Services: 3 years (Required),Terraform/Cloudformation or alternative Cloudformation tool: 2 years (Required),object oriented programming language: 3 years (Required),U.S. Citizen or Green Card: 1 year (Required)",Bachelor's (Required)
Customer Support Engineer,,,,,,,
Cloud Monitoring Engineer,,,"Support application monitoring for .Net, Java, SaaS, AWS, and other application architectures based in the cloud (AWS),Understand the differences between PaaS, IaaS, and SaaS and best practices for the monitoring of each,Understand log analytics monitoring with ELK and/or Splunk,Monitor the responsiveness and availability of critical websites and web applications from the end-user perspective,Monitor infrastructure component for CPU, memory, disk space, and I/O,Provide deep visibility into on-prem, cloud and hybrid applications performance,Support the efforts for ongoing Dynatrace AppMon Configurations and Dynatrace platform implementation,Implement application monitoring, synthetic and real user monitoring solutions following best practices across the enterprise,Collaborate with Business and Technology to design and implement performance benchmarks for each application, and report results periodically,Develop processes to monitor and alert for critical business transactions and applications to catch an issue before the impact,Participates in the discussion of applications performance and infrastructure outage incidents to provide solutions,Collaborate with all relevant IT resources to develop preventive measures and automated remediation of production issues,Participate in continuous improvement initiatives to enhance client service, efficiency and","AWS associate level certifications (must have higher certifications than Practitioner level.,4 or more years of experience in Information Systems performing application and infrastructure analysis,Strong Experience with Dynatrace, Splunk, ELK, and other industry standard monitoring platforms,Working knowledge of application monitoring best practices,Strong experience with multiple hardware and operating systems such as Unix, Linux, Windows, and/or VMware, EC2, ECS, Containers, and Lambda functionality,Experience with application performance management technologies: server and application (real and synthetic) monitoring components,Strong Experience in integrating Dynatrace with ServiceNow, Splunk and other industry standard platforms,Synthetic monitoring tools including browser-based testing and load generators,Infrastructure monitoring tools: client, server, network, logs,Understanding of core development principles of scripting languages like Perl, Java, and Python,Understanding of middleware technologies such as JBoss and Tomcat,Understanding of messaging frameworks such as SOAP, REST and web services,Understanding or relational and non-relational databases (Oracle, MySQL, NoSQL, etc),Experience in configuration management and orchestration tools,Experience in configuration, release, and change management,Self-driven individual with good project and time management skills,Strong analytical and problem solving skills,Ability to prioritize and deliver on multiple project deadlines and milestones,Ability to work effectively with a diverse set of clients in an international organization,Strong attention to detail and follow-through,Must be effective communicator (written and verbal),Willing to learn new things",,,
CLOUD ENGINEER,,,,,,,
Cloud Engineer,,,,,,,
Technology Operations Center - Associate Engineer,,,,,,,
DevOps Cloud Engineer,,,,,,,
IT Client Service Engineer,,,,,,,
NET Software Engineer (Cloud),,"ThorTech Solutions is a software and IT consultancy with reasonable working hours, solid benefits and 18+ years of stability. Our process is agile. Our culture is built around collaboration, community, creativity, communication, learning and producing measurable value. Our team is diverse, passionate and driven, including hackers, musicians, math geeks, artsy, arduino hobbyists all working together to achieve our goals.","You’ll be working on architectures for building resilient, scalable distributed systems on the AWS cloud platform that won’t fail.,You will be troubleshooting and optimizing through the full stack from the web tier, to the network tier, down to the database tier. You know how to use wireshark, evaluate SQL execution plans, have experience with profiling/debugging tools on the .net platform.,You are able to gather requirements and create/design and implement solutions that are testable, decoupled, isolated and understandable. You can achieve this with some basic diagrams, user stories, discussions and some paired programming.,You are fluent in C#, ASP.Net, Linq, SQL and can build and design decoupled components for distributed systems. You are well versed in the Windows platform, IIS, SQL Server and can author and consume web services. You’re already using or very interested in utilizing the CoreCLR.,You will be coaching, teaching and learning with team members. Pairing when appropriate. You’re comfortable with or excited to learn about functional programming paradigms.","5+ years of hands-on, professional development experience in C# .NET,5+ years of hands-on, professional experience in SQL server,Experience in AWS preferred,Comfortable with writing multi-threaded code,Experience using LINQ,Experience with Linux,Interest or experience in highly available distributed systems in the cloud.,Ability to thrive in an environment where you can wear many hats.,You're passionate about technology and read a lot!!,Can foster an environment of disruptive / creative solutions prides yourself on elegant, but simple solutions with a good walk up story",,.net: 7 years (Required),Yes
Federal - Cloud Engineer,,,,,,,
Cloud DevOps Engineer,,,"AWS hands on experience (4-5 yrs),Windows Administration,Linux Administration,Active Directory,Terraform, Ansible, and Kubernetes,Scripting languages: Python or PowerShell,Monitoring tools,Naturally born or naturalized US citizen (required for AWS GovCloud certifications)","AWS, Azure or GCP Cloud certifications,Hands on experience with Azure or GCP,Postgres or Relational DB Management (RDBMS),Cloud Storage experience,Samba Windows services",,"Manage customers through migrations and ongoing services,Scripting and automation,Manage tickets through ServiceNow workflow, esp to ensure SLAs are met,Monitor and manage cloud infrastructure,Create and update systems and customer documentation as needed,Respond to alerts and outages; participate in periodic 24x7 on-call schedule while providing top notch, responsive customer service to clients,Periodically handle Severity 1 technical issues, managing resolution, root cause analysis and customer expectations/satisfaction,Test new upgrades, patches in the lab before production,Work with TX state agencies to manage timing of tests and updates,Author knowledge base articles to help other staff benefit from best practices,Defend upgrades and changes through TX state change management process,Stay on cutting edge of public cloud learning curve including pursue cloud certifications such as AWS or Azure architect","Austin, TX (Required)"
Cloud Engineer,,"Hanna Instruments an industry leader in laboratory instrumentation for analytical testing, is looking for a full-time Senior Cloud Engineer to join our team in Woonsocket, RI. The individual will be responsible for all technological duties associated with developing Azure cloud applications on the back end/server side and ensuring the quality of the solution. The Azure cloud engineer will analyze business needs, define the architecture for and participate in the delivery of technical solutions to complex business and technical requirements using cloud based platforms.","Installs and maintains cloud-based applications, systems, and associated infrastructures.,Translates business requirements into code and documentation while managing the life-cycle and communication for assigned projects.,Analyzes and defines business requirements to determine specifications and standards.,Oversees the proper implementation and integration of web and cloud-based applications.,Stays informed of emerging cloud technologies and evaluates the value to the organization’s operations.,Monitors system performance, troubleshooting and resolving errors.,Leads cloud development team as a specialist and works with internal and external resources to develop cloud solutions for a range of products.,Ensures quality of the solutions are robust, scalable and efficient to meet the needs of the business.","Requires experience with one or more cloud platform.,Possesses expert knowledge of subject matter.,Must have at least 5 years’ experience developing cloud applications such as JS, PHP, MQTT etc.,At least two years’ experience with developing Microsoft Azure.,Bachelor’s degree required.,Must have a good understanding of front end/client side development and troubleshooting.,Must have a good understanding of connected embedded systems tradeoffs, protocols, etc.,Requires attention to detail, a pride in delivering excellent service, organization, and high levels of energy and endurance.,Ability to handle the most complex issues and possess analytical and problem-solving skills.,Strong written and oral communication skills, exceptional time management and project management capabilities.","The people here at Hanna don’t just create widgets — they create testing solutions that help improve everything from the taste of your local microbrew to the safety of the water from your tap. With operations in 65 countries, Hanna is working to solve some of the world’s biggest problems by making scientific testing more accessible, easy and accurate. Working for Hanna is an opportunity to be a part of the solution in making a better world.","Microsoft Azure: 2 years (Required),developing cloud applications such as JS, PHP, MQTT etc.: 5 years (Preferred)",Bachelor's (Required)
